onset	duration	trial_type	response_time	response_accuracy	trial_no
0.1555	3.3473	angry_males	n/a	1	1
5.5644	3.3593	happy_males	n/a	1	2
12.474	3.355	happy_females	n/a	1	3
19.381	3.354	happy_females	n/a	0	4
23.294	3.36	angry_males	n/a	1	5
28.71	3.349	angry_males	n/a	1	6
34.134	3.345	scrambled	n/a	0	7
39.03	3.353	angry_females	n/a	0	8
43.95	3.354	scrambled	n/a	0	9
50.356	3.353	neutral_females	n/a	0	10
57.262	3.352	happy_males	n/a	1	11
62.666	3.353	happy_males	n/a	0	12
66.57	3.352	happy_males	n/a	0	13
71.495	3.347	scrambled	n/a	1	14
75.897	3.349	angry_males	n/a	1	15
82.298	3.353	neutral_females	n/a	1	16
86.699	3.355	happy_females	1.5375	1	17
91.105	3.353	neutral_females	n/a	0	18
96.514	3.348	angry_males	n/a	1	19
101.91	3.36	happy_females	n/a	0	20
107.32	3.35	angry_males	n/a	1	21
112.22	3.35	angry_females	n/a	1	22
117.63	3.35	angry_females	n/a	1	23
122.53	3.35	neutral_females	n/a	1	24
128.43	3.36	angry_females	n/a	1	25
134.84	3.35	angry_females	n/a	0	26
140.74	3.36	happy_females	n/a	0	27
145.67	3.35	scrambled	n/a	1	28
150.57	3.35	angry_males	n/a	1	29
157.49	3.35	scrambled	n/a	1	30
163.4	3.35	angry_males	n/a	0	31
167.3	3.35	neutral_females	n/a	1	32
172.2	3.35	happy_males	n/a	1	33
176.11	3.35	happy_males	n/a	1	34
182.51	3.35	neutral_females	n/a	0	35
188.43	3.35	scrambled	n/a	0	36
192.34	3.35	neutral_females	n/a	0	37
199.24	3.35	angry_females	n/a	1	38
205.65	3.35	neutral_females	n/a	0	39
210.05	3.35	neutral_females	n/a	0	40
215.95	3.36	neutral_females	n/a	0	41
220.86	3.35	happy_females	n/a	1	42
226.76	3.35	happy_males	n/a	1	43
230.67	3.35	neutral_females	n/a	0	44
235.57	3.35	angry_females	n/a	0	45
239.47	3.35	neutral_females	n/a	0	46
246.38	3.35	neutral_females	n/a	1	47
251.8	3.35	scrambled	n/a	1	48
258.21	3.35	angry_males	n/a	1	49
262.61	3.35	happy_males	n/a	1	50
269.52	3.34	angry_males	n/a	0	51
276.43	3.36	scrambled	n/a	0	52
280.36	3.35	scrambled	n/a	0	53
285.76	3.35	angry_males	n/a	0	54
290.66	3.35	happy_males	n/a	0	55
297.07	3.35	happy_females	n/a	0	56
300.97	3.35	angry_females	n/a	0	57
306.9	3.34	scrambled	n/a	0	58
313.8	3.35	happy_females	n/a	0	59
320.72	3.35	scrambled	n/a	1	60
325.62	3.36	neutral_females	n/a	1	61
331.54	3.36	scrambled	n/a	0	62
337.45	3.35	angry_males	n/a	1	63
342.35	3.36	neutral_females	n/a	0	64
347.76	3.35	happy_males	n/a	1	65
352.16	3.35	angry_females	n/a	0	66
356.57	3.35	angry_males	n/a	0	67
362.97	3.35	happy_females	n/a	1	68
367.87	3.36	angry_females	n/a	0	69
371.78	3.35	angry_males	n/a	1	70
376.2	3.35	scrambled	n/a	0	71
382.1	3.35	happy_males	n/a	0	72
388.51	3.35	happy_females	n/a	1	73
392.93	3.35	scrambled	n/a	0	74
398.33	3.35	angry_females	n/a	0	75
403.24	3.35	happy_males	n/a	1	76
407.64	3.35	happy_females	n/a	0	77
