onset	duration	trial_type	response_time	response_accuracy	trial_no
0.0805	3.3556	scrambled	n/a	0	1
3.9968	3.359	angry_females	n/a	1	2
9.4114	3.3486	angry_males	n/a	0	3
14.815	3.349	angry_males	n/a	1	4
20.216	3.353	angry_females	n/a	0	5
24.118	3.354	happy_females	n/a	0	6
30.522	3.355	happy_females	n/a	1	7
36.429	3.352	neutral_females	n/a	0	8
42.332	3.354	happy_females	n/a	1	9
47.238	3.352	happy_males	n/a	1	10
53.16	3.351	scrambled	n/a	1	11
58.084	3.348	scrambled	n/a	1	12
61.987	3.348	angry_males	n/a	1	13
65.89	3.348	angry_males	n/a	1	14
72.291	3.352	neutral_females	n/a	1	15
78.694	3.354	happy_females	n/a	1	16
83.6	3.352	neutral_females	n/a	0	17
88.502	3.354	happy_females	n/a	1	18
93.908	3.352	happy_males	n/a	0	19
98.812	3.348	angry_females	n/a	1	20
104.73	3.36	scrambled	n/a	0	21
111.64	3.35	happy_females	2.3701	1	22
117.06	3.35	scrambled	n/a	1	23
121.96	3.36	angry_females	n/a	0	24
126.37	3.35	happy_males	n/a	1	25
130.27	3.35	happy_males	n/a	0	26
134.68	3.35	angry_males	n/a	0	27
140.58	3.35	neutral_females	2.2345	0	28
145.49	3.34	angry_males	n/a	1	29
150.38	3.36	happy_females	n/a	0	30
157.29	3.35	angry_females	n/a	1	31
161.21	3.35	scrambled	n/a	0	32
167.63	3.35	angry_females	n/a	0	33
171.54	3.35	angry_females	n/a	0	34
176.46	3.35	scrambled	n/a	1	35
182.86	3.35	happy_females	n/a	1	36
189.77	3.35	happy_females	n/a	1	37
196.67	3.35	angry_females	n/a	0	38
201.08	3.35	angry_males	n/a	0	39
206.0	3.35	scrambled	1.5325	0	40
212.9	3.35	neutral_females	n/a	1	41
219.31	3.35	angry_males	n/a	1	42
224.71	3.35	happy_males	n/a	1	43
229.62	3.35	happy_males	n/a	1	44
235.02	3.35	neutral_females	n/a	1	45
241.42	3.36	angry_females	n/a	1	46
245.33	3.35	angry_males	n/a	0	47
249.73	3.35	angry_females	n/a	0	48
255.14	3.35	angry_males	n/a	0	49
261.54	3.35	happy_females	n/a	0	50
265.45	3.34	angry_males	n/a	0	51
272.35	3.35	angry_females	n/a	1	52
276.77	3.35	scrambled	n/a	0	53
283.67	3.36	happy_females	n/a	0	54
289.08	3.35	angry_females	n/a	1	55
294.48	3.35	happy_males	n/a	1	56
301.39	3.35	happy_females	n/a	0	57
307.32	3.34	scrambled	n/a	1	58
311.23	3.35	scrambled	n/a	0	59
318.14	3.35	angry_males	n/a	1	60
322.54	3.35	neutral_females	n/a	1	61
327.94	3.35	happy_males	n/a	0	62
334.35	3.35	angry_males	n/a	1	63
338.76	3.34	angry_males	n/a	1	64
344.17	3.35	scrambled	n/a	0	65
350.58	3.35	angry_females	n/a	0	66
356.48	3.35	angry_females	n/a	1	67
362.39	3.35	happy_males	n/a	1	68
368.79	3.35	happy_females	n/a	1	69
374.2	3.35	angry_females	n/a	0	70
378.1	3.35	happy_males	2.966	1	71
383.0	3.35	neutral_females	n/a	0	72
389.91	3.35	angry_females	n/a	1	73
395.81	3.35	angry_females	n/a	0	74
401.72	3.35	angry_males	n/a	0	75
406.62	3.35	neutral_females	n/a	1	76
411.52	3.36	happy_females	n/a	0	77
415.43	3.35	angry_females	n/a	1	78
422.34	3.35	angry_males	n/a	0	79
428.74	3.35	happy_males	n/a	0	80
435.66	3.35	scrambled	n/a	1	81
440.08	3.35	scrambled	n/a	1	82
446.49	3.35	neutral_females	n/a	0	83
450.89	3.35	happy_females	n/a	1	84
455.79	3.35	happy_females	n/a	0	85
462.7	3.35	angry_females	n/a	0	86
467.6	3.35	happy_females	1.1676	0	87
474.51	3.35	angry_males	n/a	0	88
478.93	3.35	scrambled	n/a	0	89
484.84	3.34	happy_males	n/a	0	90
489.24	3.35	neutral_females	n/a	1	91
494.64	3.35	neutral_females	n/a	0	92
501.55	3.35	happy_males	n/a	1	93
505.95	3.35	happy_males	n/a	0	94
512.37	3.35	scrambled	n/a	1	95
516.78	3.35	neutral_females	n/a	0	96
521.18	3.35	neutral_females	n/a	1	97
527.09	3.34	neutral_females	n/a	1	98
532.99	3.35	happy_males	n/a	0	99
537.39	3.35	angry_females	n/a	0	100
541.32	3.34	scrambled	n/a	0	101
547.24	3.34	scrambled	n/a	0	102
551.14	3.35	happy_females	n/a	1	103
557.55	3.34	angry_males	n/a	1	104
563.45	3.35	angry_males	n/a	0	105
567.85	3.35	happy_females	n/a	0	106
571.75	3.35	neutral_females	n/a	1	107
575.66	3.35	neutral_females	n/a	1	108
